"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-05,"","",12,"Florida","White",43123,1777,11196857,385.13,15.87,20598139,54.36,"Yes"
2020-07-05,"","",12,"Florida","Other Race",6973,119,68744,10143.43,173.11,20598139,0.33,"No"
2020-07-05,"","",12,"Florida","Hispanic",54692,964,5184720,1054.87,18.59,20598139,25.17,"Yes"
2020-07-05,"","",13,"Georgia","All Races Combined",95516,2860,10297484,927.57,27.77,10297484,100,"Yes"
2020-07-05,"","",13,"Georgia","African American",26208,1345,3195363,820.19,42.09,10297484,31.03,"Yes"
2020-07-05,"","",13,"Georgia","White",23346,1291,5476441,426.3,23.57,10297484,53.18,"Yes"
2020-07-05,"","",13,"Georgia","Other Race",2580,10,30394,8488.52,32.9,10297484,0.3,"No"
2020-07-05,"","",13,"Georgia","Hispanic",14816,146,968463,1529.85,15.08,10297484,9.4,"No"
2020-07-05,"","",15,"Hawaii","All Races Combined",1023,19,1422029,71.94,1.34,1422029,100,"Yes"
2020-07-05,"","",15,"Hawaii","African American",9,NA,24472,36.78,NA,1422029,1.72,"No"
2020-07-05,"","",15,"Hawaii","White",186,NA,314536,59.13,NA,1422029,22.12,"Yes"
2020-07-05,"","",15,"Hawaii","Other Race",19,NA,1591,1194.22,NA,1422029,0.11,"No"
2020-07-05,"","",15,"Hawaii","Hispanic",NA,NA,147962,NA,NA,1422029,10.4,"Yes"
2020-07-05,"","",16,"Idaho","All Races Combined",7733,93,1687809,458.17,5.51,1687809,100,"Yes"
2020-07-05,"","",16,"Idaho","African American",113,1,10739,1052.24,9.31,1687809,0.64,"No"
2020-07-05,"","",16,"Idaho","White",3777,87,1387654,272.19,6.27,1687809,82.22,"Yes"
2020-07-05,"","",16,"Idaho","Other Race",831,1,1038,80057.8,96.34,1687809,0.06,"No"
2020-07-05,"","",16,"Idaho","Hispanic",1559,6,209073,745.67,2.87,1687809,12.39,"Yes"
2020-07-05,"","",17,"Illinois","All Races Combined",148373,7230,12821497,1157.22,56.39,12821497,100,"Yes"
2020-07-05,"","",17,"Illinois","African American",24691,1958,1796057,1374.73,109.02,12821497,14.01,"Yes"
2020-07-05,"","",17,"Illinois","White",31143,3123,7894286,394.5,39.56,12821497,61.57,"Yes"
2020-07-05,"","",17,"Illinois","Other Race",5493,48,20105,27321.56,238.75,12821497,0.16,"No"
2020-07-05,"","",17,"Illinois","Hispanic",47679,1448,2174842,2192.3,66.58,12821497,16.96,"Yes"
