"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-12,"","",49,"Utah","Other Race",3670,18,4802,76426.49,374.84,3045350,0.16,"No"
2020-07-12,"","",49,"Utah","Hispanic",12072,53,422123,2859.83,12.56,3045350,13.86,"Yes"
2020-07-12,"","",50,"Vermont","All Races Combined",1296,56,624977,207.37,8.96,624977,100,"Yes"
2020-07-12,"","",50,"Vermont","African American",143,,7602,1881.08,,624977,1.22,"Yes"
2020-07-12,"","",50,"Vermont","White",1068,53,581023,183.81,9.12,624977,92.97,"Yes"
2020-07-12,"","",50,"Vermont","American Natives",2,,1867,107.12,,624977,0.3,"No"
2020-07-12,"","",50,"Vermont","Other Race",24,1,898,2672.61,111.36,624977,0.14,"No"
2020-07-12,"","",50,"Vermont","Hispanic",44,0,11677,376.81,0,624977,1.87,"Yes"
2020-07-12,"","",51,"Virginia","All Races Combined",70670,1966,8413774,839.93,23.37,8413774,100,"Yes"
2020-07-12,"","",51,"Virginia","African American",10773,455,1582421,680.79,28.75,8413774,18.81,"Yes"
2020-07-12,"","",51,"Virginia","White",15385,1058,5233111,293.99,20.22,8413774,62.2,"Yes"
2020-07-12,"","",51,"Virginia","American Natives",84,2,17747,473.32,11.27,8413774,0.21,"No"
2020-07-12,"","",51,"Virginia","Other Race",1694,24,21295,7954.92,112.7,8413774,0.25,"No"
2020-07-12,"","",51,"Virginia","Hispanic",23343,216,771177,3026.93,28.01,8413774,9.17,"Yes"
2020-07-12,"","",53,"Washington","All Races Combined",39218,1424,7294336,537.65,19.52,7294336,100,"Yes"
2020-07-12,"","",53,"Washington","African American",1520,46,259482,585.78,17.73,7294336,3.56,"Yes"
2020-07-12,"","",53,"Washington","White",10048,933,5039208,199.4,18.51,7294336,69.08,"Yes"
2020-07-12,"","",53,"Washington","American Natives",457,16,80274,569.3,19.93,7294336,1.1,"Yes"
2020-07-12,"","",53,"Washington","Other Race",689,30,12077,5705.06,248.41,7294336,0.17,"No"
2020-07-12,"","",53,"Washington","Hispanic",12295,174,911573,1348.77,19.09,7294336,12.5,"Yes"
2020-07-12,"","",54,"West Virginia","All Races Combined",4244,96,1829054,232.03,5.25,1829054,100,"Yes"
2020-07-12,"","",54,"West Virginia","African American",298,3,65597,454.29,4.57,1829054,3.59,"Yes"
2020-07-12,"","",54,"West Virginia","White",3343,58,1684756,198.43,3.44,1829054,92.11,"Yes"
2020-07-12,"","",54,"West Virginia","American Natives",,,3546,,,1829054,0.19,"No"
2020-07-12,"","",54,"West Virginia","Other Race",602,,3060,19673.2,,1829054,0.17,"No"
2020-07-12,"","",54,"West Virginia","Hispanic",,,27522,,,1829054,1.5,"Yes"
2020-07-12,"","",55,"Wisconsin","All Races Combined",39877,827,5778394,690.11,14.31,5778394,100,"Yes"
2020-07-12,"","",55,"Wisconsin","African American",6462,194,361909,1785.53,53.6,5778394,6.26,"Yes"
2020-07-12,"","",55,"Wisconsin","White",23372,577,4711038,496.11,12.25,5778394,81.53,"Yes"
2020-07-12,"","",55,"Wisconsin","American Natives",361,10,46149,782.25,21.67,5778394,0.8,"No"
2020-07-12,"","",55,"Wisconsin","Other Race",4099,11,4807,85271.48,228.83,5778394,0.08,"No"
2020-07-12,"","",55,"Wisconsin","Hispanic",10779,98,385779,2794.09,25.4,5778394,6.68,"Yes"
2020-07-12,"","",56,"Wyoming","All Races Combined",1862,21,581836,320.02,3.61,581836,100,"Yes"
2020-07-12,"","",56,"Wyoming","African American",19,0,5149,369,0,581836,0.88,"No"
2020-07-12,"","",56,"Wyoming","White",864,9,489559,176.49,1.84,581836,84.14,"Yes"
2020-07-12,"","",56,"Wyoming","American Natives",337,9,12717,2650,70.77,581836,2.19,"Yes"
2020-07-12,"","",56,"Wyoming","Other Race",70,0,227,30837,0,581836,0.04,"No"
2020-07-12,"","",56,"Wyoming","Hispanic",236,2,56966,414.28,3.51,581836,9.79,"Yes"
